"Filename","LineNumber","Path"
"skia.win32-x64-msvc.node","142350","D:\CODING\diamond-kms\node_modules\@napi-rs\.canvas-win32-x64-msvc-Per7kz7P\skia.win32-x64-msvc.node"
"skia.win32-x64-msvc.node","142619","D:\CODING\diamond-kms\node_modules\@napi-rs\.canvas-win32-x64-msvc-Per7kz7P\skia.win32-x64-msvc.node"
"curve.d.ts","66","D:\CODING\diamond-kms\node_modules\@noble\curves\abstract\curve.d.ts"
"curve.d.ts","66","D:\CODING\diamond-kms\node_modules\@noble\curves\esm\abstract\curve.d.ts"
"curve.ts","126","D:\CODING\diamond-kms\node_modules\@noble\curves\src\abstract\curve.ts"
"typescript.js","11848","D:\CODING\diamond-kms\node_modules\@ts-morph\common\dist\typescript.js"
"02-valid.pdf","23280","D:\CODING\diamond-kms\node_modules\pdf-parse\test\data\02-valid.pdf"
"02-valid.pdf","23289","D:\CODING\diamond-kms\node_modules\pdf-parse\test\data\02-valid.pdf"
"02-valid.pdf","23305","D:\CODING\diamond-kms\node_modules\pdf-parse\test\data\02-valid.pdf"
"02-valid.pdf","23507","D:\CODING\diamond-kms\node_modules\pdf-parse\test\data\02-valid.pdf"
"02-valid.pdf","23531","D:\CODING\diamond-kms\node_modules\pdf-parse\test\data\02-valid.pdf"
"02-valid.pdf","23558","D:\CODING\diamond-kms\node_modules\pdf-parse\test\data\02-valid.pdf"
"skia.win32-x64-msvc.node","148845","D:\CODING\diamond-kms\node_modules\pdfjs-dist\node_modules\@napi-rs\canvas-win32-x64-msvc\skia.win32-x64-msvc.node"
"skia.win32-x64-msvc.node","150021","D:\CODING\diamond-kms\node_modules\pdfjs-dist\node_modules\@napi-rs\canvas-win32-x64-msvc\skia.win32-x64-msvc.node"
"skia.win32-x64-msvc.node","150061","D:\CODING\diamond-kms\node_modules\pdfjs-dist\node_modules\@napi-rs\canvas-win32-x64-msvc\skia.win32-x64-msvc.node"
"typescript.js","11869","D:\CODING\diamond-kms\node_modules\typescript\lib\typescript.js"
"_tsc.js","8457","D:\CODING\diamond-kms\node_modules\typescript\lib\_tsc.js"
